City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,roswell,34.0232,-84.3616,23.86,60,100,3.09,US,1713995255
1,edinburgh of the seven seas,-37.0676,-12.3116,16.1,73,100,6.27,SH,1713995255
2,bethel,41.3712,-73.414,18.18,45,20,4.63,US,1713995256
3,papatowai,-46.5619,169.4708,15.35,60,22,4.5,NZ,1713995256
4,bhuj,23.2667,69.6667,24.22,76,0,4.88,IN,1713995248
5,santa cruz,-17.8,-63.1667,30.7,66,75,6.69,BO,1713995256
6,longyearbyen,78.2186,15.6401,-2.09,74,20,1.54,SJ,1713995256
7,port elizabeth,-33.918,25.5701,18.39,88,75,7.72,ZA,1713995140
8,mariehamn,60.0973,19.9348,2.12,93,0,1.03,AX,1713995258
9,grytviken,-54.2811,-36.5092,-2.17,79,67,4.82,GS,1713995258
10,mil'kovo,55.6078,37.7956,11.3,66,97,6.47,RU,1713995258
11,punta arenas,-53.15,-70.9167,8.06,81,75,2.57,CL,1713994961
12,mansa,29.9833,75.3833,25.25,27,0,2.06,IN,1713995258
13,sarmiento,-45.5882,-69.07,13.7,51,100,7.95,AR,1713995258
14,constantia,44.1833,28.65,10.38,75,79,2.2,RO,1713995045
15,talnakh,69.4865,88.3972,-7.66,93,82,1.1,RU,1713995259
16,katabu,-4.9333,122.5167,24.11,97,67,1.39,ID,1713995259
17,whitehorse,60.7161,-135.0538,12.43,30,20,2.06,CA,1713995130
18,bay city,43.5945,-83.8889,6.17,55,0,6.17,US,1713995247
19,clairton,40.2923,-79.8817,14.67,67,40,6.17,US,1713995259
20,tiksi,71.6872,128.8694,-12.13,87,100,6.3,RU,1713995260
21,yellowknife,62.456,-114.3525,7.29,45,75,5.66,CA,1713995260
22,port-aux-francais,-49.35,70.2167,4.21,64,54,9.21,TF,1713995260
23,sungai penuh,-2.0833,101.3833,19.08,94,97,1.63,ID,1713995260
24,sergeyevka,53.88,67.4158,1.86,44,93,6.41,KZ,1713995260
25,saint-pierre,-21.3393,55.4781,24.82,78,75,2.06,RE,1713995260
26,tazovsky,67.4667,78.7,-14.58,100,90,1.5,RU,1713994973
27,kavaratti,10.5669,72.642,29.61,68,33,2.49,IN,1713995261
28,iqaluit,63.7506,-68.5145,-5.15,73,100,5.66,CA,1713995261
29,puerto natales,-51.7236,-72.4875,6.25,93,75,1.03,CL,1713995261
30,saynshand,44.8824,110.1163,4.89,59,35,8.06,MN,1713995261
31,santa maria,-29.6842,-53.8069,19.61,88,0,0.51,BR,1713994981
32,college,64.8569,-147.8028,16.18,37,20,3.6,US,1713995262
33,colonia,50.9333,6.95,6.21,82,75,4.63,DE,1713995061
34,albany,42.6001,-73.9662,12.32,62,46,4.47,US,1713995088
35,waitangi,-43.9535,-176.5597,15.46,93,10,2.68,NZ,1713995262
36,boli,45.7667,130.5167,12.3,66,0,2.86,CN,1713995262
37,murzuq,25.9155,13.9184,25.19,25,7,5.58,LY,1713995262
38,kodiak,57.79,-152.4072,4.73,93,100,7.72,US,1713995263
39,hammerfest,70.6634,23.6821,3.25,81,75,4.12,NO,1713995263
40,aykhal,66.0,111.5,-11.49,98,100,5.55,RU,1713995263
41,saldanha,-33.0117,17.9442,15.03,89,4,3.5,ZA,1713995263
42,yokadouma,3.5167,15.05,20.56,96,89,1.09,CM,1713995263
43,hamilton,39.1834,-84.5333,16.54,60,40,5.66,US,1713994960
44,bredasdorp,-34.5322,20.0403,16.33,77,11,1.55,ZA,1713995264
45,mejit,10.2753,170.8646,27.73,76,91,8.5,MH,1713995264
46,bemidji,47.4736,-94.8803,16.62,23,0,1.54,US,1713995125
47,port augusta,-32.5,137.7667,11.42,65,96,3.33,AU,1713995261
48,ketchikan,55.3422,-131.6461,9.63,71,100,5.66,US,1713995271
49,damboa,11.156,12.7576,33.9,11,5,2.63,NG,1713995272
50,adamstown,-25.066,-130.1015,23.13,88,12,7.97,PN,1713995272
51,taulaga,-11.0553,-171.0883,29.45,75,10,5.53,AS,1713995273
52,blackmans bay,-43.0167,147.3167,10.07,72,96,1.34,AU,1713995273
53,ushuaia,-54.8,-68.3,9.81,53,40,2.57,AR,1713994982
54,posto fiscal rolim de moura,-13.0833,-62.2667,28.02,73,100,0.49,BR,1713995274
55,invercargill,-46.4,168.35,11.12,89,48,5.81,NZ,1713995267
56,mareeba,-17.0,145.4333,21.91,88,15,1.02,AU,1713995277
57,st. john's,47.5649,-52.7093,12.66,97,100,7.72,CA,1713995277
58,acarau,-2.8856,-40.12,26.29,88,27,4.1,BR,1713995277
59,lompoc,34.6391,-120.4579,21.12,66,20,8.23,US,1713995278
60,stanley,54.868,-1.6985,2.65,82,99,2.35,GB,1713995278
61,east london,-33.0153,27.9116,20.48,78,100,5.21,ZA,1713995117
62,imbituba,-28.24,-48.6703,19.67,84,100,4.86,BR,1713995279
63,daru,-9.0763,143.2092,28.3,83,100,5.53,PG,1713995279
64,nova vicosa,-17.8919,-39.3719,25.47,83,10,2.94,BR,1713995280
65,tindouf,27.6711,-8.1474,28.25,13,0,6.17,DZ,1713995281
66,mineiros,-17.5694,-52.5511,22.26,63,10,1.02,BR,1713995120
67,jamestown,42.097,-79.2353,5.29,97,100,3.6,US,1713995281
68,kalmunai,7.4167,81.8167,26.82,86,100,1.69,LK,1713995282
69,orhei,47.3831,28.8231,12.1,76,0,1.73,MD,1713995282
70,yarmouth,41.7057,-70.2286,15.9,72,0,6.69,US,1713995282
71,flying fish cove,-10.4217,105.6791,26.82,94,75,4.12,CX,1713995283
72,yorkton,51.2167,-102.4677,20.91,17,40,7.72,CA,1713995037
73,geraldton,-28.7667,114.6,20.23,40,100,11.32,AU,1713995260
74,vadso,70.0744,29.7487,0.49,93,75,9.77,NO,1713995291
75,la'ie,21.6477,-157.9253,26.98,81,22,3.13,US,1713995292
76,isafjordur,66.0755,-23.124,4.19,82,55,2.57,IS,1713995292
77,iskateley,67.6803,53.1512,-6.66,82,7,5.81,RU,1713995293
78,hengyang,26.8881,112.615,20.77,96,100,0.84,CN,1713995293
79,bac kan,22.1333,105.8333,22.63,99,75,0.71,VN,1713995300
80,alice springs,-23.7,133.8833,8.75,71,1,3.09,AU,1713995301
81,ironwood,46.4547,-90.171,10.19,42,0,3.6,US,1713995302
82,lihue,21.9789,-159.3672,26.58,78,100,8.23,US,1713995309
83,holyhead,53.3062,-4.6321,7.0,70,100,0.51,GB,1713995309
84,horta,38.5333,-28.6333,15.8,80,20,5.81,PT,1713995309
85,baoqing,46.3317,132.2111,10.25,78,96,3.35,CN,1713995309
86,bilibino,68.0546,166.4372,-12.84,74,21,1.09,RU,1713995310
87,carnarvon,-24.8667,113.6333,23.63,45,68,7.19,AU,1713995310
88,paredon,16.0333,-93.8667,32.17,56,34,4.53,MX,1713995311
89,namibe,-15.1961,12.1522,24.51,81,82,1.13,AO,1713995311
90,malayer,34.2969,48.8235,8.92,70,3,2.38,IR,1713995311
91,wailua homesteads,22.0669,-159.378,26.24,83,100,8.23,US,1713995314
92,chilaw,7.5758,79.7953,25.01,73,95,2.74,LK,1713995315
93,sortavala,61.7053,30.6918,-2.21,96,62,1.34,RU,1713995315
94,olonkinbyen,70.9221,-8.7187,-1.7,82,8,2.3,SJ,1713995322
95,atafu village,-8.5421,-172.5159,29.56,73,98,3.72,TK,1713995322
96,lebu,-37.6167,-73.65,12.73,92,100,6.91,CL,1713995322
97,margaret river,-33.95,115.0667,12.01,74,100,5.44,AU,1713995322
98,youghal,51.95,-7.8506,8.64,96,100,5.02,IE,1713995323
99,ribeira grande,38.5167,-28.7,16.22,72,20,5.81,PT,1713995323
100,nobeoka,32.5833,131.6667,13.48,71,42,2.19,JP,1713995323
101,afaahiti,-17.75,-149.2833,29.93,77,5,3.94,PF,1713995323
102,georgetown,5.4112,100.3354,28.3,89,20,1.54,MY,1713995267
103,pisco,-13.7,-76.2167,22.03,78,0,4.12,PE,1713995323
104,ust-nera,64.5667,143.2,1.37,94,99,2.4,RU,1713995324
105,chilca,-12.5211,-76.7372,20.25,90,96,1.64,PE,1713995324
106,ascension,30.2169,-90.9001,29.12,53,100,1.54,US,1713995160
107,tromso,69.6496,18.957,3.01,70,0,0.51,NO,1713995324
108,berbera,10.4396,45.0143,29.91,69,84,2.0,SO,1713995324
109,mount isa,-20.7333,139.5,20.87,46,75,3.6,AU,1713995324
110,enewetak,11.3474,162.3373,27.75,80,87,7.15,MH,1713995324
111,anadyr,64.75,177.4833,-3.72,85,100,11.0,RU,1713995325
112,businga,3.3333,20.8833,23.02,95,98,1.1,CD,1713995325
113,al ghayzah,16.2079,52.176,28.7,64,72,4.46,YE,1713995325
114,berdigestyakh,62.0989,126.6992,-9.25,89,100,5.45,RU,1713995325
115,kayangel,8.0823,134.7173,28.84,80,87,6.93,PW,1713995325
